avg_income	median_age	median_networth
42213	42.3	72112
47360	41.8	143865
40216	44	67683
44291	41.4	73509
57331	41.6	132470
36547	40.3	25432
34682	35.4	59306
38731	40	54872
36203	40.9	24764
41943	40.3	55996
37246	34.7	35880
36463	24.6	29494
43496	38.6	60792
32465	41.5	41890
40421	49.1	50597
34513	32.9	12346
36271	33.8	17864
39365	39.6	45596
34709	37.7	23270
40304	37.4	45581
35925	34.3	14892
32767	36.2	15398
44300	41.3	93250
39090	42.8	59174
41841	36.3	49536
41078	39.1	46011
36879	36.8	31440
53159	44.1	157618
101104	45.6	500001
40479	31.5	26780
34716	28.4	14098
35550	29.8	16161
40624	43	113016
34775	42.4	46448
33343	41.6	51563
37535	37.2	45460
42561	52.7	115136
56813	44.6	212091
50408	42.9	141292
48415	34.5	88477
47202	33.4	130512
50195	42.5	145540
61765	51.4	241154
52143	38.1	137910
49447	41.1	103634
61988	49.6	178023
69607	58.6	299634
39949	32.6	17966
52356	40.1	92023
47084	44.9	75396
46800	44.5	65936
40965	38.3	47218
36823	36.7	14362
45260	41.1	98632
52267	41.6	120227
49652	40.9	103079
48117	36.1	81323
42864	38.7	31880
54131	42.2	159762
50769	42.6	130128
79910	48.4	378907
79302	38.1	298239
71611	52	347647
63135	40.6	191584
49479	40.8	67163
39610	35.7	22962
43378	37.2	40403
41855	38	39816
64549	35.9	193551
63147	34.9	198973
47486	35.9	54367
42668	35.6	51242
59205	36.1	133871
52786	33.8	77328
58492	32.2	56110
56447	40.1	142938
65442	37.7	208833
56181	41.8	134305
53588	37.9	75947
47337	38.7	103492
51284	33.4	15977
66405	43.9	170449
46711	38.1	86171
27852	46.1	38910
35006	43.7	69104
36531	40	27729
34044	37.8	23364
29781	31	11634
42205	40.5	77902
33567	41.6	28791
44870	43.3	127394
39733	44.2	66213
44570	46.5	36832
55584	45.8	169794
24463	36.7	12024
39647	40.6	16676
36050	40.6	56121
32770	39.8	20547
43840	39.1	91700
28336	37.8	22441
34559	38.8	35000
36685	41.6	73366
28935	36.2	12838
24920	35.6	11193
51510	42.9	127593
34516	41.7	54430
27032	37.2	16747
25537	27.8	11488
29402	33.7	11585
42751	42.7	106733
34156	40.7	50427
53553	42.2	154219
39136	38	47010
35593	41.4	55960
30061	44.3	17682
25183	24.8	12829
25062	51.9	43868
15480	24.3	8839
17950	32.1	10310
50378	49.1	187487
40031	48.4	135385
43631	50.5	187219
46440	41.7	137911
50255	48.4	206400
38977	41.5	47900
27668	39.7	21136
25767	43.1	23406
23398	40.8	14596
29220	38.3	27649
27969	40.2	17585
14458	26.3	8148
32280	37.9	13947
26630	39.2	13375
23194	37.1	16119
23034	41.5	18272
23074	57.6	16847
27699	40.9	24484
29098	35.2	11772
92165	48.6	427797
61919	47	168343
54406	48.8	105811
15967	38.6	8578
37074	40.2	26253
40870	44	38474
33712	42.8	24900
26263	34.1	12963
23470	32.2	10278
38367	40.5	37368
39101	47.5	105431
40087	36.6	120849
25520	48.9	12597
22801	39	11124
34585	41	35825
36456	41	33091
37338	44	54567
28984	39.7	14084
25418	33.7	11250
39046	43	67860
39529	39.7	71781
33974	44.8	77948
44507	43.8	104922
46199	42.5	116611
43197	46.5	144386
33868	31.2	12165
38682	37.7	35193
52070	42	122328
54433	50.2	113517
56093	41.7	187482
61479	39.9	188142
66908	43.8	228313
67664	43	237336
43783	42	58429
49935	45	157442
55664	45.7	196172
52494	50.1	224173
47954	41.7	128193
50896	43.8	167563
40277	41.8	66121
35784	42.2	48731
44744	42.8	111183
43508	46.4	118413
36000	41.6	62665
38294	43.3	77165
39932	40.4	79784
38607	43.2	80689
45683	43.6	100000
43168	40	75523
42040	38.7	73160
37453	41.5	38468
40856	41.8	92516
34059	39	43407
38271	38.9	61533
33712	43.2	21506
18972	35.7	9848
22867	32.8	10023
29107	31.4	13184
39781	44.7	106284
44177	43.7	84918
36311	43.7	54132
41964	43.4	114670
41468	47.3	87790
48957	43.6	100393
41845	50	108392
36039	39.5	15192
49553	44.5	64850
22190	39	9849
42146	45.7	61349
